n,tip,repetari,algoritm,status,rulari,timp_total_sec,timp_mediu_sec,timp_min_sec,timp_max_sec,memorie_auxiliara_estimata_bytes,memorie_totala_estimata_bytes
100000,aleator,3,Heap Sort,OK,3,0.033861,0.011287,0.010860,0.011552,0,400000
100000,aleator,3,Counting Sort,OK,3,0.001227,0.000409,0.000393,0.000435,800000,1200000
100000,aleator,3,Radix Sort,OK,3,0.004116,0.001372,0.001346,0.001385,400040,800040
100000,sortat,3,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,sortat,3,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,sortat,3,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,sortat,3,Quick Sort,OK,3,0.002711,0.000904,0.000870,0.000963,0,400000
100000,sortat,3,Merge Sort,OK,3,0.012468,0.004156,0.004118,0.004187,400000,800000
100000,sortat,3,Heap Sort,OK,3,0.024756,0.008252,0.008053,0.008449,0,400000
100000,sortat,3,Counting Sort,OK,3,0.001024,0.000341,0.000338,0.000343,800000,1200000
100000,sortat,3,Radix Sort,OK,3,0.004120,0.001373,0.001348,0.001402,400040,800040
100000,invers_sortat,3,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,invers_sortat,3,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,invers_sortat,3,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,invers_sortat,3,Quick Sort,OK,3,0.002871,0.000957,0.000949,0.000969,0,400000
100000,invers_sortat,3,Merge Sort,OK,3,0.012560,0.004187,0.004166,0.004210,400000,800000
100000,invers_sortat,3,Heap Sort,OK,3,0.024298,0.008099,0.008012,0.008231,0,400000
100000,invers_sortat,3,Counting Sort,OK,3,0.000987,0.000329,0.000317,0.000336,800000,1200000
100000,invers_sortat,3,Radix Sort,OK,3,0.004120,0.001373,0.001344,0.001409,400040,800040
100000,aproape_sortat,3,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,aproape_sortat,3,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,aproape_sortat,3,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,aproape_sortat,3,Quick Sort,OK,3,0.004429,0.001476,0.001453,0.001515,0,400000
100000,aproape_sortat,3,Merge Sort,OK,3,0.014045,0.004682,0.004677,0.004690,400000,800000
100000,aproape_sortat,3,Heap Sort,OK,3,0.026525,0.008842,0.008799,0.008916,0,400000
100000,aproape_sortat,3,Counting Sort,OK,3,0.001033,0.000344,0.000334,0.000361,800000,1200000
100000,aproape_sortat,3,Radix Sort,OK,3,0.004101,0.001367,0.001327,0.001414,400040,800040
100000,plat,3,Bubble Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,plat,3,Selection Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,plat,3,Insertion Sort,SKIP_TIMP,0,0.000000,0.000000,0.000000,0.000000,0,400000
100000,plat,3,Quick Sort,OK,3,0.007861,0.002620,0.002587,0.002660,0,400000
100000,plat,3,Merge Sort,OK,3,0.016277,0.005426,0.005389,0.005481,400000,800000
